After I transfer you, the next representative will already have the notes from our conversation.
After applying your credit, the remaining balance is eighty-nine dollars.
After applying your credit, the remaining balance is fifty-six ninety-nine.
After applying your credit, the remaining balance is forty-two fifty.
After applying your credit, the remaining balance is one hundred and eighteen dollars.
After applying your credit, the remaining balance is one hundred and fifty dollars and thirty cents.
After applying your credit, the remaining balance is sixty-three ninety-nine.
After applying your credit, the remaining balance is thirty-four dollars and twenty cents.
After applying your credit, the remaining balance is twelve dollars and fifty cents.
After the coupon, you'd be paying just eighty-nine dollars.
After the coupon, you'd be paying just forty-eight dollars.
After the coupon, you'd be paying just ninety-four fifty.
After the coupon, you'd be paying just one hundred and eighteen dollars.
After the coupon, you'd be paying just seventy-one dollars and ten cents.
After the coupon, you'd be paying just sixty-three ninety-nine.
After the coupon, you'd be paying just thirty-four dollars and twenty cents.
After the coupon, you'd be paying just twelve dollars and fifty cents.
After the coupon, you'd be paying just twenty-three dollars.
After the coupon, you'd be paying just two hundred and eighty-nine ninety-nine.
After the coupon, you'd be paying just two hundred and four dollars.
After the discount, your new total is eighty-nine dollars.
After the discount, your new total is forty-eight dollars.
After the discount, your new total is ninety-four fifty.
After the discount, your new total is one hundred and eighteen dollars.
After the discount, your new total is one hundred and fifty dollars and thirty cents.
After the discount, your new total is seventeen ninety-nine.
After the discount, your new total is thirty-four dollars and twenty cents.
After the discount, your new total is twenty-nine ninety-five.
After the discount, your new total is twenty-three dollars.
After the discount, your new total is two hundred and eighty-nine ninety-nine.
After the trial period ends, you'll be billed at the regular monthly rate.
After this call, you'll get a text with a link to track your request.
Ah, I see what happened now, that explains it.
All of our representatives are currently helping other customers.
Almost ninety percent of appointments are completed without any rescheduling.
Alright, I have your email as amanda dot anderson at example dot com — is that correct?
Alright, I have your email as amanda dot brown at example dot com — is that correct?
Alright, I have your email as amanda dot clark at example dot com — is that correct?
Alright, I have your email as amanda dot gonzalez at example dot com — is that correct?
Alright, I have your email as amanda dot harris at example dot com — is that correct?
Alright, I have your email as amanda dot johnson at example dot com — is that correct?
Alright, I have your email as amanda dot jones at example dot com — is that correct?
Alright, I have your email as amanda dot lopez at example dot com — is that correct?
Alright, I have your email as amanda dot martinez at example dot com — is that correct?
Alright, I have your email as amanda dot moore at example dot com — is that correct?
Alright, I have your email as amanda dot perez at example dot com — is that correct?
Alright, I have your email as amanda dot sanchez at example dot com — is that correct?
Alright, I have your email as amanda dot smith at example dot com — is that correct?
Alright, I have your email as amanda dot taylor at example dot com — is that correct?
Alright, I have your email as amanda dot thomas at example dot com — is that correct?
Alright, I have your email as amanda dot white at example dot com — is that correct?
